CONVERSATION ID,CONVERSATION TITLE,FROM,SENDER PROFILE URL,TO,RECIPIENT PROFILE URLS,DATE,SUBJECT,CONTENT,FOLDER
2-NjhjMjA3YzktODIyNy00Mzg5LTk0NGYtZGVmMDFjYjA4NTEwXzEwMA==,,,,,,2026-04-29 10:56:37 UTC,,"<p>Your profile and resume seem to match well with the required qualifications. Based on my review of your information and similar applications on LinkedIn, you may be ready to apply.</p><p> </p><p><b>Matches 1 of the 1 required qualifications:</b></p><p>✓ Proficient in Microsoft Office Suite (Word, Excel, PowerPoint, Outlook).</p><p> </p><p><b>Matches 1 of the 1 additional qualifications:</b></p><p>✓ Diploma in Business Administration, Office Management, or a related field is preferred.</p><p> </p><p><b>There are qualifications that will likely be evaluated in the application or interview:</b></p><p>• Excellent organizational and multitasking abilities with a keen eye for detail.</p><p>• Strong communication skills, both written and verbal.</p><p>• Ability to maintain confidentiality and handle sensitive information with discretion.</p><p>• A proactive and positive attitude, with the ability to work both independently and collaboratively in a team.</p>",INBOX
2-NjhjMjA3YzktODIyNy00Mzg5LTk0NGYtZGVmMDFjYjA4NTEwXzEwMA==,,,,,,2026-04-29 10:56:37 UTC,,Show match details,INBOX
2-YTJiNDA4NGUtOWY3MS00NzFmLWFkNzItZjllNTI1NTY3N2NlXzEwMA==,,,,,,2026-04-28 05:59:15 UTC,, ,INBOX
2-YTJiNDA4NGUtOWY3MS00NzFmLWFkNzItZjllNTI1NTY3N2NlXzEwMA==,,,,,,2026-04-28 05:59:14 UTC,,Show match details,INBOX
2-YjRlYWQ4YTUtMjA3Mi00MmUzLWEwODItYzlmNDM5NjYzZmQyXzEwMA==,,,,,,2026-04-18 09:22:20 UTC,,"<p>Your profile and resume seem to match well with the required qualifications. Based on my review of your information and similar applications on LinkedIn, you may be ready to apply.</p><p> </p><p><b>Matches 3 of the 3 required qualifications:</b></p><p>✓ A strong startup or scaleup background is essential.</p><p>✓ At least 5 years in a senior EA or PA role supporting a founder or C-suite executive</p><p>✓ Proven experience managing personal as well as professional support at this level</p><p> </p><p><b>Matches 0 of the 2 additional qualifications:</b></p><p>? Experience in fintech, digital assets, or an investment and asset management environment. (No experience in these environments)</p><p>? Local knowledge of London is a bonus. (User is based in Ajman)</p><p> </p><p><b>There are qualifications that will likely be evaluated in the application or interview:</b></p><p>• Comfortable in a small, fast-moving environment where priorities shift and last-minute changes are routine</p><p>• Dubai-based, working hybrid from the office when the CEO is in</p><p>• Confident working across globally remote teams</p>",INBOX
2-YjRlYWQ4YTUtMjA3Mi00MmUzLWEwODItYzlmNDM5NjYzZmQyXzEwMA==,,,,,,2026-04-18 09:22:20 UTC,,Show match details,INBOX
2-NWVlY2YyYjAtZjNhYi00ZGFkLWI1MTAtZGEwMzlhMjNhNTEyXzEwMA==,,,,,,2026-04-15 10:31:57 UTC,,"<p>Your profile and resume match several of the required qualifications. After reviewing your information and application history on LinkedIn, you may want to refresh your profile or explore jobs that better align with your experience.</p><p> </p><p><b>Matches 3 of the 4 required qualifications:</b></p><p>✓ 6-10 years of experience in a high-performing, analytical environment (consulting, biz ops, startup/scale-up, or similar)</p><p>✓ Proven track record of taking initiatives from concept to execution</p><p>✓ Excellent communication and stakeholder management skills</p><p>? Strong analytical skills; comfortable working with SQL, Excel, and data visualization tools (No explicit mention of SQL or Excel)</p><p> </p><p><b>Matches 1 of the 2 additional qualifications:</b></p><p>✓ Experience working in global or emerging markets.</p><p>? Fluency in languages beyond English. (No mention of language beyond English)</p><p> </p><p><b>There are qualifications that will likely be evaluated in the application or interview:</b></p><p>• “Owner mindset” – thrives on responsibility and is equally comfortable in the weeds or thinking big-picture</p><p>• Bias for action and instinct to simplify complex problems</p>",INBOX
2-NWVlY2YyYjAtZjNhYi00ZGFkLWI1MTAtZGEwMzlhMjNhNTEyXzEwMA==,,,,,,2026-04-15 10:31:57 UTC,,Show match details,INBOX
2-Yjg3MDYxMGYtNjE5Yy00MzQ1LTk1MTYtZjU2ODVhODZjZmYxXzEwMA==,,,,,,2026-04-15 10:31:36 UTC,,"<p>Your profile and resume are missing some required qualifications. Based on my review of your information and application history on LinkedIn, you may want to update your profile or look for jobs that are a closer fit for your skills and experience.</p><p> </p><p><b>Matches 1 of the 3 required qualifications:</b></p><p>✓ Experience working in a fast-moving startup or scale-up environment, ideally fintech or financial services</p><p>? Deep hands-on experience building AI-powered tools and agents</p><p>? Strong engineering fundamentals: you can write production code, set up infrastructure, and debug at 2am if needed. Python is table stakes; experience with LLM APIs, vector databases, and orchestration frameworks (LangChain, CrewAI, etc.) is expected</p><p> </p><p><b>Matches 3 of the 5 additional qualifications:</b></p><p>✓ Experience leading or managing a small team</p><p>✓ Background in data science, ML engineering, or quantitative research</p><p>✓ Familiarity with compliance and regulatory environments</p><p>? Experience with MCP, agent-to-agent communication, or building tools that plug into existing SaaS platforms (No mention of MCP or similar experience)</p><p>? Prior experience at a remittance, payments, or neobank company (No mention of experience in these industries)</p><p> </p><p><b>There are qualifications that will likely be evaluated in the application or interview:</b></p><p>• A bias for speed and pragmatism over perfection: You'd rather ship a working bot in a week than spec a platform for six months</p><p>• Exceptional communication skills: you'll need to sell AI adoption to skeptical teams, train non-technical users, and present to the board</p><p>• A genuine obsession with AI and what it can do: You follow the space daily, you've built side projects, you have strong opinions on which models are best for which tasks</p><p>• Comfort with ambiguity and a self-starting mentality. This role doesn't have a playbook - you'll write it</p>",INBOX
2-Yjg3MDYxMGYtNjE5Yy00MzQ1LTk1MTYtZjU2ODVhODZjZmYxXzEwMA==,,,,,,2026-04-15 10:31:36 UTC,,Show match details,INBOX
2-NmNhZmVlNDktMzQ3OC00MDU4LWI2ZjEtOGJjNTQxMDk1ZmI0XzEwMA==,,,,,,2026-04-13 12:46:00 UTC,,"<p>Your profile and resume are missing some required qualifications. Based on my review of your information and application history on LinkedIn, you may want to update your profile or look for jobs that are a closer fit for your skills and experience.</p><p> </p><p><b>Matches 1 of the 3 required qualifications:</b></p><p>✓ Strong expertise in schedule management tools, software, and industry best practice.</p><p>? Degree in construction or engineering discipline; relevant qualifications preferred.</p><p>? Significant experience applying planning techniques across multi-disciplinary sectors.</p><p> </p><p><b>There are qualifications that will likely be evaluated in the application or interview:</b></p><p>• Excellent written communication, problem-solving, and commitment to service excellence.</p>",INBOX
2-NmNhZmVlNDktMzQ3OC00MDU4LWI2ZjEtOGJjNTQxMDk1ZmI0XzEwMA==,,,,,,2026-04-13 12:46:00 UTC,,Show match details,INBOX
2-MmY3NWQ1MTEtYTg3YS00MTE3LWJmOWEtMWVkMjVmMzRhZTFkXzEwMA==,,,,,,2026-04-07 02:13:18 UTC,,"<p>Your profile appears to match several of the job's qualifications well. Based on my review of your profile and similar applications on LinkedIn, you could have a higher chance of hearing back if you apply.</p><p> </p><p><b>Matches 3 of the 6 required qualifications:</b></p><p>✓ 3–7 years of experience in PMO, program management, operations or consulting</p><p>✓ Strong delivery tracking and coordination experience</p><p>✓ Bachelor’s degree in Engineering, Business, Computer Science or related field</p><p>? Experience managing dashboards, reporting, and governance processes</p><p>? Experience with risk, dependency, and issue management (No explicit mention)</p><p>? Advanced Excel and PowerPoint skills (No explicit mention)</p><p> </p><p><b>Matches 2 of the 3 additional qualifications:</b></p><p>✓ Experience supporting digital transformation initiatives.</p><p>✓ Exposure to public-sector or large-scale operational programs.</p><p>? Familiarity with real estate ecosystem is a plus. (No mention of real estate)</p><p> </p><p><b>There are qualifications that will likely be evaluated in the application or interview:</b></p><p>• Strong analytical and organisational skills</p>",INBOX
2-MmY3NWQ1MTEtYTg3YS00MTE3LWJmOWEtMWVkMjVmMzRhZTFkXzEwMA==,,,,,,2026-04-07 02:13:18 UTC,,Show match details,INBOX
2-MzgxNmUwMjQtOTRjMC00MjFmLWI2ZTAtMWZkNzdmOGUwZWUwXzEwMA==,,,,,,2026-04-07 02:13:00 UTC,,,INBOX
2-MzgxNmUwMjQtOTRjMC00MjFmLWI2ZTAtMWZkNzdmOGUwZWUwXzEwMA==,,,,,,2026-04-07 02:13:00 UTC,,Practice an interview,INBOX
2-ZjA2ZmNkOTAtM2VmMC00N2FhLThmZmUtNjE4YWZiMTNmMmFmXzEwMA==,,,,,,2026-04-07 02:09:20 UTC,,"<p>Your profile seems to match well with this job. Based on my review of your profile and similar applications on LinkedIn, you may be ready to apply.</p><p> </p><p><b>Matches 9 of the 10 required qualifications:</b></p><p>✓ Fluent spoken and written English</p><p>✓ Experience and self-reliance to perform and coordinate administrative activities.</p><p>✓ Superior organizational and time management skill sets.</p><p>✓ Strong interpersonal and engagement skills with the ability to handle proactive engagement and coordination with multiple stakeholders, roles, and specializations.</p><p>✓ Proven ability to prepare, analyze, and interpret reports and data to identify trends and develop actionable recommendations, with experience designing and delivering executive-level presentations using standard presentation tools.</p><p>✓ Efficiently work across and influence multiple stakeholder groups in a matrix organization towards rapid and effective results.</p><p>✓ Problem-solving and critical thinking skills to handle customer inquiries and complaints</p><p>✓ Bachelor’s degree a. Advanced education desired.</p><p>✓ Minimum 3 years of experience in customer support / management in a high-volume relationship development/service corporate environment</p><p>? Bilingual in Japanese or Korean (No mention of Japanese or Korean)</p><p> </p><p><b>Matches 0 of the 1 additional qualifications:</b></p><p>? Project management knowledge or experience is a plus (No explicit project management experience)</p><p> </p><p><b>There are qualifications that will likely be evaluated in the application or interview:</b></p><p>• Self-motivated; able to make decisions and organize tasks independently with minimal supervision.</p><p>• Strong accountability and commitment to results.</p><p>• Ability to work in a fast-paced team environment and support team goals with a rapidly growing organization.</p><p>• Outcomes-driven, proactive, analytical, design and strategic thinker across end-to-end planning, design, integration, and delivery.</p><p>• Ability and willingness to become knowledgeable of project professions and PMI.</p>",INBOX
2-ZjA2ZmNkOTAtM2VmMC00N2FhLThmZmUtNjE4YWZiMTNmMmFmXzEwMA==,,,,,,2026-04-07 02:09:20 UTC,,Show match details,INBOX
2-Nzk0YjJhNDItY2YzOS00OGIzLWFjNTctYjMxODgwNmI3NDQ1XzEwMA==,,,,,,2026-04-06 05:03:11 UTC,,"<p>Your profile matches several of the required qualifications. Based on my review of your resume, profile, and application history on LinkedIn, you may want to update your profile or take a look at other jobs where there might be a stronger match.</p><p> </p><p><b>Matches 2 of the 3 required qualifications:</b></p><p>✓ Bachelor's degree in Business Administration, Management, or related field</p><p>✓ Proficiency in MS Office</p><p>? 2-4 years in a similar role (Personal Assistant / Executive Assistant / Office Manager)</p><p> </p><p><b>Matches 0 of the 1 additional qualifications:</b></p><p>? Background in Real Estate, E-commerce, Marketing, or TIC is a plus (User's background is in environmental compliance).</p>",INBOX
2-Nzk0YjJhNDItY2YzOS00OGIzLWFjNTctYjMxODgwNmI3NDQ1XzEwMA==,,,,,,2026-04-06 05:03:11 UTC,,Show match details,INBOX
